Ord i artikler (websider)	Vekt i %		Websider (kilder) som vi skal hente data fra		Ord/Slang som kjennetegner Oslo	Vekt i %
Oslo	100,00%		radikalportal.no/osloportal		Eks: "Tagger"	10,00%
Alna	100,00%		db.no		Hausmanere	30,00%
Grorud	100,00%		vg.no		Blitzer	
Stovner	100,00%		nettavisen.no		Blitzhuset	
Høybråten	100,00%		e24.no		oslolufta	
Vestli	100,00%		dn.no		byregjeringen	
Romsås	100,00%		kampanje.no		trikken	
Hovseter	100,00%		dinside.no		t-banen	
Majorstuen/Majorstua	100,00%		osloby.no			
Furuset	100,00%		groruddalen.no			
Linderud	100,00%		http://www.ensjobyen.no/			
Lindeberg	100,00%		Oslo.kommune.no			
Haugenstua	100,00%		no.wikipedia.org			
Smedstua	100,00%		http://www.ivarjohansen.no/			
Alfaset	100,00%		http://bryggesjauerfrue.blogg.no/			
Vollebekk	100,00%		http://www.nettavisen.no/dittoslo/			
Risløkka	100,00%		http://www.noblad.no/			
Løren	100,00%		http://radiorakel.no/			
Lørenbyen	100,00%		http://hausmania.org/portal/			
Ensjø	100,00%		forskning.no			
Ensjøbyen	100,00%		universitas.no			
Lilletøyen	100,00%		nrk.no/ostlandssendingen			
Økern	100,00%		nab.no			
Hasle	100,00%		dagsavisen.no/oslo			
Hovin	100,00%		leieboerforeningen.no/			
Hovinbyen	100,00%		http://loft-toyen.no/			
Ammerud	100,00%		http://digitaltmuseum.no/info/owners/BAR			
Linderudkollen	100,00%		http://fattighusetoslo.no/			
Bryn	100,00%		byantikvaren.no			
Kalbakken	100,00%		lo-oslo.no			
Veitvet	100,00%		http://stakkarsoss.no/			
Flaen	100,00%		http://byplanoslo.no/			
Romsås	100,00%		ofa.no			
Ellingsrud	100,00%					
Trosterud	100,00%					
Haugerud	100,00%					
Tveita	100,00%					
Rødvet	100,00%					
Bjerke	100,00%					
Groruddalen	100,00%					
Oslo øst	100,00%					
Oslo vest	100,00%					
Blitzhuset	100,00%					
Hausmania	100,00%					
Hausmaniakvartalet	100,00%					
Oslo havn	100,00%					
Oslo rådhus	100,00%					
Youngstorget	100,00%					
Egertorget	100,00%					
Akerselva	100,00%					
Tokerud	100,00%					
